ref_id,replicate_id,seed,logZ_inf_full,logZ_per_P,split0_logZ_full_proxy,split1_logZ_full_proxy,replicate_split_logZ_per_P_diff,ess_fraction,weighted_ce,weighted_error,weighted_h,smc_mean_mh_acceptance,smc_step_count
33,9,18941527,-161.88711894177686,-0.06578103167077483,-161.1939717632347,-181.21522569106355,0.008135414029999528,0.7047756818663174,0.2298535761128328,0.09559708963180971,0.665212279418988,0.4036532315340909,67
33,10,19941530,-170.80824316538184,-0.06940603135529534,-170.1155724569468,-177.76443554768537,0.003108030512287102,0.641338244365666,0.23193885430987854,0.09809525063105055,0.6689842795271859,0.4113103693181818,67
33,11,20941533,-181.11034758754565,-0.07359217699615833,-180.83429588698925,-181.49295004802318,0.00026763679846969626,0.9020043637075152,0.23643054499198113,0.09959839213572536,0.6755374033752648,0.4001647038246269,67
33,12,21941536,-174.90897873699998,-0.07107231968183665,-178.4280286477489,-174.23075616167958,0.0017055150288782298,0.9176660919859637,0.24025964427999713,0.10058275667394834,0.6811981406947447,0.39533635496183206,66
33,13,22941539,-172.58617523381378,-0.07012847429248834,-175.81236715829536,-171.91308200832728,0.0015844311864965785,0.9316518390117112,0.22382889402937445,0.09788369658267163,0.6568250479627971,0.3909237989738806,67
33,14,23941542,-178.16984234109836,-0.072397335368183,-177.48035227473179,-183.0896040747002,0.002279257131234622,0.6932155110917005,0.2369869492925773,0.09960437127131352,0.6763925782162037,0.3840732859141791,68
33,15,24941545,-179.35250895452398,-0.07287789880313855,-185.22204159129546,-178.66077486838662,0.002666097815078765,0.8879048705387833,0.25291560216138215,0.10757069569640701,0.6990339888788646,0.403228759765625,67
49,0,9957500,-150.63833139838079,-0.06121021186443754,-149.94837309711127,-155.69486397728255,0.0023350227062865826,0.7230620727525995,0.1906408921993581,0.07539388058520019,0.6144915844841605,0.39197771990740743,70
49,1,10957503,-165.6724686641623,-0.0673191664624796,-164.98018661706868,-172.03238078573136,0.002865580726803202,0.5819100860875993,0.22063824492754827,0.09104387302736353,0.661885012941776,0.40398848684210525,67
49,2,11957506,-175.05311460650125,-0.07113088769057345,-177.98846761303162,-174.38688238927665,0.0014634641299288772,0.9531281416210482,0.24218601669515144,0.10235480392798982,0.6937431857803709,0.4064998183139535,65
49,3,12957509,-172.55755489273199,-0.07011684473495815,-171.8706473873956,-176.94435307301652,0.0020616439193908665,0.8603493658223446,0.22287396424010686,0.09013851917771444,0.6651119405929481,0.39594582950367646,69
49,4,13957512,-163.70812439546796,-0.06652097699937748,-165.54252307803807,-163.09820096077075,0.0009932231276990324,0.7561320546228221,0.22398685492401266,0.09074063989759575,0.6670354016215609,0.41334332606589147,65
49,5,14957515,-159.14497666542397,-0.06466679263121657,-158.45338922413015,-164.9158458619244,0.0026259474351053424,0.9996480663253744,0.21760507625641703,0.09344491192975254,0.6574684504418814,0.4011418269230769,66
49,6,15957518,-145.68268004700755,-0.0591965380117869,-166.1089309556927,-144.98953286712052,0.008581632705636808,0.7592646162926928,0.20274317839937817,0.0800967212414874,0.6340053588113316,0.4010441141917293,67
49,7,16957521,-163.62642684101093,-0.0664877801060589,-162.93332731119506,-172.88491579806725,0.004043717385970011,0.6747561773718312,0.22208746950463853,0.09352106437688584,0.6641881803027243,0.38282718515037595,67
49,8,17957524,-164.0154561603819,-0.06664585784655908,-169.3770268966216,-163.32465850179833,0.0024593126350358698,0.7178598483165044,0.22430576239700473,0.09240631492435927,0.6674654604155802,0.404541015625,66
49,9,18957527,-163.3974981848933,-0.06639475749081401,-177.04306128402874,-162.7043515969548,0.0058263753299772165,0.6956247824366422,0.21553586607400038,0.09124871234139184,0.6537550541201929,0.38296329273897056,69
49,10,19957530,-160.38937236471,-0.06517243899419342,-166.11520219497433,-159.69785683775808,0.002607616967580759,0.771997561617651,0.2133789601953554,0.08801152119292546,0.6508643838272885,0.389735890858209,67
49,11,20957533,-164.79446367456381,-0.06696239889254929,-168.0797198946021,-164.1202093418549,0.0016089031096087844,0.6340645949949695,0.21290631034504937,0.08644168608798039,0.6500643325570223,0.39673032407407405,68
49,12,21957536,-159.0692146752399,-0.06463600758847618,-158.3760681396896,-172.63006835608485,0.005791954577974498,0.6641225352845945,0.2160695381213913,0.08887773580459078,0.6536026702318743,0.40682272086466165,69
49,13,22957539,-164.97895262747033,-0.06703736392826913,-167.17382938418655,-164.34310213965801,0.001150234556899038,0.9914751465087854,0.2084517036870584,0.08407853808330627,0.643338031552652,0.38590856481481484,68
49,14,23957542,-175.23733812032364,-0.07120574486807137,-174.58443759433473,-177.77697517139597,0.001297252164592135,0.7489310304574888,0.2404799254343499,0.0995307056598845,0.6911796393534215,0.40303703482824427,66
49,15,24957545,-172.99805159312726,-0.07029583567376159,-172.42826861243924,-174.45856680342075,0.0008249891064532758,0.61622277900666,0.2251664086780134,0.08758630158673034,0.668595056790928,0.38034577546296294,69
