rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,radius_path_id,ref_count,smc_completed_count,q95_split_logZ_per_P_diff,max_split_logZ_per_P_diff,q95_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff,q05_ess_fraction,q05_smc_min_cess_fraction,split_logZ_per_P_diff_mean,threshold_max_split_logZ_per_P_diff,qc_claim
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.66,r_0p6600,30,30,0.005618883994394134,0.0079329581263916,0.024119969807587602,0.0282603231603896,0.6550993211450862,0.9500000000002728,0.0026629217678661933,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.67,r_0p6700,30,30,0.005489189564253363,0.006156718721558,0.01699926789874034,0.0179159761840982,0.6298320435294918,0.950000000000366,0.0026373481801527285,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.68,r_0p6800,30,30,0.006307371057343833,0.0076163037279618,0.015805897084583416,0.0167252802087942,0.6333541490472145,0.9500000000001547,0.002519002979689819,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.69,r_0p6900,30,30,0.005097227769694964,0.0072035415643043,0.0223471592629899,0.024042186640527,0.6232112633887041,0.950000000000129,0.002683724303664662,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.7,r_0p7000,30,30,0.0059423159622666024,0.0073391941165375,0.017003970532018183,0.023455185314732,0.6364100644476214,0.950000000000159,0.003108941072628226,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.71,r_0p7100,30,30,0.005932136471960027,0.007148684964317,0.014322804508547927,0.0153288894720729,0.6635312900403029,0.9500000000004719,0.002369484302033917,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.72,r_0p7200,30,30,0.006447437359020038,0.010770621397909,0.017671613484507336,0.0229164632187117,0.5755793675791117,0.9500000000004192,0.0024078086516420324,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.73,r_0p7300,30,30,0.007739821532310244,0.011430949156364,0.02328237043066161,0.0246849347391441,0.5971221653486923,0.950000000000052,0.003086200864766798,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.74,r_0p7400,30,30,0.006646969049713961,0.0074379782706755,0.02124746804724857,0.0307610328380843,0.5859121448007751,0.950000000000375,0.0028805842724001036,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.75,r_0p7500,30,30,0.006675318621915991,0.0091295914643115,0.01965036166691017,0.0242893934015078,0.5575940571093561,0.9500000000002445,0.002575212244258376,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.76,r_0p7600,30,30,0.0065170115943788895,0.0085850066151427,0.019138963835786362,0.0243405846690369,0.5968902639598614,0.950000000000093,0.0035221655831737626,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.77,r_0p7700,30,30,0.006185123182462849,0.0107866844543433,0.02095204597142431,0.0276368245731507,0.5908956096982456,0.9500000000001223,0.0029607087602495532,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.78,r_0p7800,30,30,0.0057067802089438855,0.007569274652063,0.020548030175616353,0.0253935616640966,0.6185084890542383,0.9500000000001115,0.0025382256163731668,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.79,r_0p7900,30,30,0.0071646265360540235,0.0100005206106829,0.020026056822264927,0.0287325930939855,0.6128593784648816,0.9500000000000872,0.0030318839481367622,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.8,r_0p8000,30,30,0.0042218440259181944,0.007544644953893,0.014154569393912544,0.0197312099379289,0.614440920167743,0.9500000000001736,0.002200242886916073,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.81,r_0p8100,30,30,0.0066378480873823895,0.011460481355166,0.019748826919261664,0.0284865329617962,0.6563957457426339,0.9500000000004394,0.0023458414203303937,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.82,r_0p8200,30,30,0.007129088814865031,0.008587598579943,0.02085108318226875,0.0313223610075259,0.633369008788151,0.9500000000003287,0.00305950652942283,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.83,r_0p8300,30,30,0.005500992925175685,0.0070100983282723,0.014038667748366358,0.0149445710040516,0.6114437161531645,0.9500000000001271,0.00254991640199645,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.84,r_0p8400,30,30,0.007924464788674944,0.0082891418598465,0.02067762539115171,0.0236028392384971,0.5732304052408319,0.9500000000001034,0.0031389144334002307,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.85,r_0p8500,30,30,0.00979097323653616,0.014131695492002,0.026205844315902897,0.0293796615306092,0.6429231895074177,0.9500000000001899,0.0035693552946585256,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.86,r_0p8600,30,30,0.008370161075701406,0.0095651608942652,0.019068240019653546,0.0225351892101567,0.6402769090106234,0.9500000000005139,0.0031027172326465098,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.87,r_0p8700,30,30,0.007117515833981308,0.0089147117688705,0.016756931187664945,0.0171273326230968,0.6278816360939056,0.9500000000003588,0.0029071169943299248,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.88,r_0p8800,30,30,0.006885412275879175,0.0089825129313968,0.030649505966683067,0.0374480199591288,0.6138053072589803,0.9500000000009412,0.002384084904744235,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.89,r_0p8900,30,30,0.0070548351508691685,0.0085566954593168,0.01671816186265209,0.0201947155190837,0.6271753708799571,0.9500000000002468,0.0029292614371117685,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.9,r_0p9000,30,30,0.007011767051551794,0.0097994564572087,0.016846505519221684,0.020132685208227,0.6104237801502045,0.9500000000003004,0.0034681019389191836,0.004,inspect
