beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.06,1.82,100,2.895185246327518,-0.005096299977595859,2.895185246327518,-0.005096299977595859,0.0,2.9002815463051137,pass
0.06,1.83,100,2.900638100613998,-0.005120758424007551,2.900638100613998,-0.005120758424007551,0.0,2.9057588590380052,pass
0.06,1.84,100,2.906081627276093,-0.005124695230942925,2.906081627276093,-0.005124695230942925,0.0,2.911206322507036,pass
0.06,1.85,100,2.9114925237429774,-0.005131736540875297,2.9114925237429774,-0.005131736540875297,0.0,2.916624260283853,pass
0.06,1.86,100,2.9168528474931197,-0.005160143213965735,2.9168528474931197,-0.005160143213965735,0.0,2.9220129907070853,pass
0.06,1.87,100,2.9221998249073096,-0.005173002087274376,2.9221998249073096,-0.005173002087274376,0.0,2.927372826994584,pass
0.06,1.88,100,2.927512791428657,-0.005191285924010125,2.927512791428657,-0.005191285924010125,0.0,2.932704077352667,pass
0.06,1.89,100,2.9328033014734793,-0.005203743608987202,2.9328033014734793,-0.005203743608987202,0.0,2.9380070450824665,pass
0.06,1.9,100,2.9380543222586306,-0.005227706424836439,2.9380543222586306,-0.005227706424836439,0.0,2.943282028683467,pass
0.06,1.91,100,2.943290867620388,-0.005238454333943044,2.943290867620388,-0.005238454333943044,0.0,2.9485293219543314,pass
0.06,1.92,100,2.948497130166958,-0.005252083924132103,2.948497130166958,-0.005252083924132103,0.0,2.95374921409109,pass
0.06,1.93,100,2.953681858694132,-0.00526013108864882,2.953681858694132,-0.005260131088648821,8.673617379884035e-19,2.9589419897827804,pass
0.06,1.94,100,2.9588251427200336,-0.005282786584584883,2.9588251427200336,-0.005282786584584883,0.0,2.9641079293046184,pass
0.06,1.95,100,2.963960662352603,-0.0052866462561668125,2.963960662352603,-0.0052866462561668125,0.0,2.96924730860877,pass
0.06,1.96,100,2.969040468814272,-0.0053199305985309,2.969040468814272,-0.0053199305985309,0.0,2.9743603994128027,pass
0.06,1.97,100,2.974124505466814,-0.005322963819075732,2.974124505466814,-0.005322963819075732,0.0,2.9794474692858897,pass
0.06,1.98,100,2.979178529296698,-0.005330252436128616,2.979178529296698,-0.005330252436128616,0.0,2.984508781732827,pass
