rule_id,rule,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
rule_001,very_low_tv_spectral_teacher,2461,0.25,1.1708999187982205e-05,1.1709e-05
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0013750135349399,0.00137501
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0010886172874035,0.00108862
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0014694567316628,-0.00146946
rule_001,very_low_tv_spectral_teacher,2461,0.3,1.972988463753511e-06,-1.97299e-06
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0004255368518408,0.000425537
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0021707907860678,0.00217079
rule_001,very_low_tv_spectral_teacher,2461,0.3,9.460112320400255e-05,9.46011e-05
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0007442783185601,-0.000744278
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0014479458821176,0.00144795
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0002565225470703,-0.000256523
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0029136023735948,-0.0029136
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0002796720722895,-0.000279672
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0008172599733172,-0.00081726
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0006962919684351,0.000696292
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0018046296922653,0.00180463
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0029043599933381,0.00290436
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0013220829507839,-0.00132208
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0005963322620312,-0.000596332
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0015277918563916,-0.00152779
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0018642441141389,0.00186424
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0010022578397312,0.00100226
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0013852977411481,0.0013853
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0013443498975275,0.00134435
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0026281398932552,-0.00262814
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0008157177854388,-0.000815718
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0016654812928861,0.00166548
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0011734904484097,0.00117349
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0006216567729502,0.000621657
rule_001,very_low_tv_spectral_teacher,2461,0.3,1.1967149776236576e-06,1.19671e-06
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0001659871064289,-0.000165987
rule_001,very_low_tv_spectral_teacher,2461,0.3,0.0007055919229169,-0.000705592
rule_001,very_low_tv_spectral_teacher,2461,0.35,3.456279810956871e-05,3.45628e-05
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0007483062109381,-0.000748306
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0009691647150411,0.000969165
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0009011787204055,0.000901179
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0015004966796953,-0.0015005
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0023339613620795,-0.00233396
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0044563351089177,-0.00445634
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0011658702065298,-0.00116587
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0007313140678269,-0.000731314
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0006629009932087,0.000662901
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0003095585157156,-0.000309559
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0018678052368777,-0.00186781
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0031925515264729,-0.00319255
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0011668269413136,-0.00116683
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0017108921970538,0.00171089
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0003871410342407,0.000387141
rule_001,very_low_tv_spectral_teacher,2461,0.35,3.659251373608225e-05,-3.65925e-05
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0007341264881402,0.000734126
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0004886509148318,-0.000488651
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0036177620190433,0.00361776
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.001524482152903,-0.00152448
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0035048424887017,0.00350484
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0002339893332592,0.000233989
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0004899402187547,-0.00048994
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0001568091202011,-0.000156809
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0015210374162784,-0.00152104
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0021157346638741,-0.00211573
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0015934663761471,-0.00159347
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0011455637491675,-0.00114556
rule_001,very_low_tv_spectral_teacher,2461,0.35,0.0031798876006389,-0.00317989
rule_001,very_low_tv_spectral_teacher,2461,0.4,4.085654870331581e-05,4.08565e-05
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0004110705665857,0.000411071
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0021658332590053,0.00216583
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0020366833934442,-0.00203668
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0008162336218054,-0.000816234
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0019008919896424,0.00190089
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0005438836863008,-0.000543884
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0019029871313214,0.00190299
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0017173243172468,0.00171732
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0018316796210064,-0.00183168
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0015897859553033,-0.00158979
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.00372308993293,0.00372309
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0025086074689576,0.00250861
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0009907871011792,-0.000990787
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0011413491734756,-0.00114135
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0003868444332501,0.000386844
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0008144355399556,0.000814436
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0024757981901141,-0.0024758
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0005614603807382,-0.00056146
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.000718098761796,0.000718099
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0019754280608651,0.00197543
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0023295785729652,-0.00232958
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0017299427664595,0.00172994
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0009963517723766,-0.000996352
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0003522874161457,0.000352287
rule_001,very_low_tv_spectral_teacher,2461,0.4,0.0014870978886635,-0.0014871
