N,M,dataset_id,ref_id,lambda_ref,reference_method,burn,thin,ref_norm,ref_norm_sq,min_margin,mean_margin,ce_ref,err_ref
40,4,2,3,1.0,weight_space_hit_and_run,5000,200,8.21737930567396,67.52532265331865,0.21076578214554975,1.1609328103363061,1.2644889793117002,0.0
40,4,2,4,1.0,weight_space_hit_and_run,5000,200,5.888538195626936,34.674882081357325,0.03197106386781578,0.7607058929885359,1.6630249875499732,0.0
40,4,2,5,1.0,weight_space_hit_and_run,5000,200,5.284223705866431,27.92302017364076,0.5646285308984403,1.1166545607240879,1.212667389086722,0.0
40,4,2,6,1.0,weight_space_hit_and_run,5000,200,6.68014700960356,44.62436406991538,0.5921507886663459,1.549254506920798,0.98802709705199,0.0
40,4,2,7,1.0,weight_space_hit_and_run,5000,200,5.5248552245340115,30.52402525206076,0.28721326872381436,0.6156276835197034,1.7625858972497388,0.0
40,4,2,8,1.0,weight_space_hit_and_run,5000,200,5.303057186201434,28.122415520122672,0.09518725382614909,0.5380093036018725,1.8789761210677527,0.0
40,4,2,9,1.0,weight_space_hit_and_run,5000,200,6.65300487949755,44.2624739266182,0.07153971769862554,0.6064290903418937,1.8512265683145284,0.0
40,4,3,0,1.0,weight_space_hit_and_run,5000,200,5.800333864979379,33.64387294522662,0.4858111001337769,0.8927077364606774,1.4576660951019094,0.0
40,4,3,1,1.0,weight_space_hit_and_run,5000,200,6.024609691630692,36.29592193649046,0.03039949876053284,0.5923936033648214,1.8631218675075651,0.0
40,4,3,2,1.0,weight_space_hit_and_run,5000,200,6.74831415298018,45.539743907312605,0.03920930957471178,0.39881589219733876,2.0902000347604375,0.0
40,4,3,3,1.0,weight_space_hit_and_run,5000,200,5.572248194919924,31.049949945788352,0.004411066962010505,0.9219040488942287,1.5416537028935775,0.0
40,4,3,4,1.0,weight_space_hit_and_run,5000,200,5.4653751999554085,29.870326076287622,0.192595633928882,0.6717856240266329,1.7388316967433415,0.0
40,4,3,5,1.0,weight_space_hit_and_run,5000,200,7.743668990086681,59.964409428030066,0.10454547437428476,1.3967319689252362,1.126985834521756,0.0
40,4,3,6,1.0,weight_space_hit_and_run,5000,200,6.802368139490768,46.272212305159094,0.17244323914166265,0.5698030246691332,1.8488930716405554,0.0
40,4,3,7,1.0,weight_space_hit_and_run,5000,200,7.568040810800998,57.27524171394943,0.47546622167730634,1.006791379318603,1.2984727814063535,0.0
40,4,3,8,1.0,weight_space_hit_and_run,5000,200,5.411885491344263,29.288504571422536,0.12898001812229756,0.35784932543934683,2.1558093222368195,0.0
40,4,3,9,1.0,weight_space_hit_and_run,5000,200,6.6654445932860265,44.42815162616593,0.047544610045840104,0.948366422427003,1.4556692842184804,0.0
40,4,4,0,1.0,weight_space_hit_and_run,5000,200,6.03786984834575,36.45587230556273,0.0010555383884626472,0.31829408849136254,2.2240173669456658,0.0
40,4,4,1,1.0,weight_space_hit_and_run,5000,200,6.297390551072936,39.657127752742696,0.3902612319666613,0.9103941587311943,1.4611593818626005,0.0
40,4,4,2,1.0,weight_space_hit_and_run,5000,200,5.475956793305385,29.986102802147393,0.008485897346042583,0.6646473456932905,1.7701114898919719,0.0
40,4,4,3,1.0,weight_space_hit_and_run,5000,200,7.089185226804512,50.25654717994334,0.06277915735953196,1.2826354161170501,1.3841953065777752,0.0
40,4,4,4,1.0,weight_space_hit_and_run,5000,200,7.142969724531091,51.02201648556777,0.03216591214664005,1.0452827265544238,1.3928850271508761,0.0
40,4,4,5,1.0,weight_space_hit_and_run,5000,200,6.854362444026862,46.98228451408589,0.12328209587653427,0.7559651428765357,1.6056628088488127,0.0
40,4,4,6,1.0,weight_space_hit_and_run,5000,200,7.062019334005957,49.87211707387395,0.3218154584111139,0.8480757609278246,1.539068535731371,0.0
40,4,4,7,1.0,weight_space_hit_and_run,5000,200,5.680810015423991,32.27160243134153,0.40065294052851125,0.5429103994442173,1.8471289867959677,0.0
40,4,4,8,1.0,weight_space_hit_and_run,5000,200,6.442308878411632,41.50334368486134,0.10753369116129663,0.4677140670875337,2.0223515733644586,0.0
40,4,4,9,1.0,weight_space_hit_and_run,5000,200,4.696749283167657,22.0594538289359,0.1337699570796547,0.48717105432126,1.981755166406734,0.0
40,4,5,0,1.0,weight_space_hit_and_run,5000,200,5.059924965152537,25.602840652973907,0.14165206592635138,0.5056741404304036,1.9377372274199849,0.0
40,4,5,1,1.0,weight_space_hit_and_run,5000,200,6.082666254714039,36.99882876623691,0.08419264172041545,0.6478753622333053,1.8091497303466084,0.0
40,4,5,2,1.0,weight_space_hit_and_run,5000,200,4.8050312572807075,23.088325383444616,0.06911060230719289,0.3588817876826651,2.1577351550347097,0.0
