beta,radius,claim,finite_derivative_ref_count,finite_derivative_ref_min,coverage_pass,split_derivative_pass,max_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff_allowed,bootstrap_pass,bootstrap_sd_dphi_full_dr,bootstrap_sd_dphi_full_dr_max,ce_replay_pass,ce_replay_max_abs_diff,ce_replay_max_abs_diff_allowed,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_energy_dr,dphi_entropic_dr,dphi_full_dr
0.14,1.9,pass,100,100,True,True,0.0005354382922151502,0.004,True,1.2489555868477453e-05,0.012,True,0.0,0.001,-3.7403434238805353,0.3156439789426836,-0.0014696830742163204,0.5261089856271327,0.5246393025529164
0.14,2.0,pass,100,100,True,True,0.0004642449043399543,0.004,True,1.1427140416229875e-05,0.012,True,0.0,0.001,-3.7470648173036993,0.29910171405318037,-0.001472324093243104,0.499803536345776,0.4983312122525329
0.14,2.1,pass,100,100,True,True,0.00039431776862167286,0.004,True,1.110447812575058e-05,0.012,True,0.0,0.001,-3.760276675226637,0.28308805501199735,-0.0014775153930163603,0.4760033679483581,0.47452585255534174
0.14,2.2,pass,100,100,True,True,0.0004888464157997569,0.004,True,1.2074475506612148e-05,0.012,True,0.0,0.001,-3.806395842137735,0.30533316463891025,-0.0014956368731385992,0.45436685122343273,0.45287121435029415
0.14,2.3,pass,100,100,True,True,0.0004922469657182928,0.004,True,1.0476266081623971e-05,0.012,True,0.0,0.001,-3.80584649393097,0.25153722649838317,-0.0014954210192263144,0.4346117707354574,0.4331163497162311
0.14,2.4,pass,100,100,True,True,0.000496309128132699,0.004,True,1.0050121396820202e-05,0.012,True,0.0,0.001,-3.8470896168429003,0.28865566878636517,-0.0015116265685040865,0.4165029469548134,0.4149913203863093
0.14,2.5,pass,100,100,True,True,0.0004776252433130529,0.004,True,7.772785325017514e-06,0.012,True,0.0,0.001,-3.9441699407754,0.19790848559414467,-0.0015497720788901375,0.39984282907662083,0.3982930569977307
0.14,2.6,pass,100,100,True,True,0.0005854559600965957,0.004,True,8.57147485635431e-06,0.012,True,0.0,0.001,-4.038536934073244,0.23605899483335005,-0.001586851447572984,0.38446425872752005,0.38287740727994707
0.14,2.7,pass,100,100,True,True,0.0005148305304562676,0.004,True,1.0328216058922111e-05,0.012,True,0.0,0.001,-4.050364510234121,0.2616494049021036,-0.0015914988252393402,0.3702248417376119,0.36863334291237254
0.14,2.8,pass,100,100,True,True,0.0004555017735067353,0.004,True,9.757293404605687e-06,0.012,True,0.0,0.001,-4.111224109842645,0.2416950172728257,-0.0016154122239067368,0.3570025259612686,0.35538711373736187
0.14,2.9,pass,100,100,True,True,0.0004337885251091124,0.004,True,9.9693786379998e-06,0.012,True,0.0,0.001,-4.222551346703024,0.24815631560274506,-0.0016591557354432313,0.3446920940315697,0.34303293829612647
0.14,3.0,pass,100,100,True,True,0.000522910855864789,0.004,True,9.159561919537088e-06,0.012,True,0.0,0.001,-4.260307541140312,0.24023007061894053,-0.001673991175300712,0.3332023575638507,0.33152836638855
0.18,0.1,pass,100,100,True,True,7.68500911428702e-05,0.004,True,5.572375144585213e-05,0.012,True,0.0,0.001,-4.65951368264741,1.4540485362091582,-0.0018308501699989823,9.996070726915521,9.994239876745523
0.18,0.2,pass,100,100,True,True,8.786984194780699e-05,0.004,True,6.332468435695494e-05,0.012,True,0.0,0.001,-5.115820709098262,1.5757888400145634,-0.0020101456617281975,4.998035363457761,4.996025217796032
0.18,0.3,pass,100,100,True,True,0.00013181852593514623,0.004,True,5.84097747215283e-05,0.012,True,0.0,0.001,-4.960576469373421,1.4522286306585592,-0.001949145960461069,3.332023575638507,3.330074429678046
0.18,0.4,pass,100,100,True,True,0.00014960849970947678,0.004,True,4.877883053064758e-05,0.012,True,0.0,0.001,-4.772309645675182,1.2647607552096587,-0.0018751707841552776,2.4990176817288803,2.497142510944725
0.18,0.5,pass,100,100,True,True,0.00018666775249371847,0.004,True,4.054385890379428e-05,0.012,True,0.0,0.001,-4.582843723447203,1.090473968854086,-0.0018007244492916318,1.999214145383104,1.9974134209338124
0.18,0.6,pass,100,100,True,True,0.00018219948736024726,0.004,True,3.664857199189327e-05,0.012,True,0.0,0.001,-4.385172415235362,0.9364943555468012,-0.0017230539941985707,1.6660117878192535,1.664288733825055
0.18,0.7,pass,100,100,True,True,0.00016585478550309383,0.004,True,3.1025037293911356e-05,0.012,True,0.0,0.001,-4.2281073822256845,0.8167961453849888,-0.0016613388535267916,1.4280101038450743,1.4263487649915476
