q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.9,0.1,2.6,4.0,4.0,0.9072265624999997,0,
0.99,0.1,2.6,6.0,6.0,1.0,0,
0.5,0.1,2.7,4.0,4.0,0.6289062500000002,0,
0.9,0.1,2.7,6.0,6.0,1.0,0,
0.99,0.1,2.7,6.0,6.0,1.0,0,
0.5,0.1,2.8,4.0,4.0,0.6406249999999998,0,
0.9,0.1,2.8,6.0,6.0,1.0,0,
0.99,0.1,2.8,6.0,6.0,1.0,0,
0.5,0.1,2.9,4.0,4.0,0.5854586066199547,0,
0.9,0.1,2.9,6.0,6.0,1.0,0,
0.99,0.1,2.9,6.0,6.0,1.0,0,
0.5,0.1,3.0,4.0,4.0,0.6230575869282411,0,
0.9,0.1,3.0,6.0,6.0,1.0,0,
0.99,0.1,3.0,6.0,6.0,1.0,0,
0.5,0.14,0.1,1.0,1.0,0.7032200117439622,0,
0.9,0.14,0.1,1.0,1.0,0.9192600451698106,0,
0.99,0.14,0.1,1.0,1.0,0.9931342193895207,0,
0.5,0.14,0.2,2.0,2.0,0.9934579879931277,0,
0.9,0.14,0.2,2.0,2.0,0.9934579879931277,0,
0.99,0.14,0.2,2.0,2.0,0.9934579879931277,0,
0.5,0.14,0.3,2.0,2.0,0.5192675957515943,0,
0.9,0.14,0.3,2.0,2.0,0.9696688491108362,0,
0.99,0.14,0.3,2.0,2.0,0.9941016414747941,0,
0.5,0.14,0.4,2.0,2.0,0.657363976133643,0,
0.9,0.14,0.4,4.0,4.0,1.0,0,
0.99,0.14,0.4,4.0,4.0,1.0,0,
0.5,0.14,0.5,4.0,4.0,1.0,0,
0.9,0.14,0.5,4.0,4.0,1.0,0,
0.99,0.14,0.5,4.0,4.0,1.0,0,
0.5,0.14,0.6,4.0,4.0,1.0,0,
0.9,0.14,0.6,4.0,4.0,1.0,0,
0.99,0.14,0.6,4.0,4.0,1.0,0,
0.5,0.14,0.7,4.0,4.0,1.0,0,
0.9,0.14,0.7,4.0,4.0,1.0,0,
0.99,0.14,0.7,4.0,4.0,1.0,0,
0.5,0.14,0.8,4.0,4.0,0.9970703124999998,0,
0.9,0.14,0.8,4.0,4.0,0.9970703124999998,0,
0.99,0.14,0.8,4.0,4.0,0.9970703124999998,0,
0.5,0.14,0.9,4.0,4.0,0.9980522585477671,0,
0.9,0.14,0.9,4.0,4.0,0.9980522585477671,0,
0.99,0.14,0.9,4.0,4.0,0.9980522585477671,0,
0.5,0.14,1.0,4.0,4.0,0.993684439027898,0,
0.9,0.14,1.0,4.0,4.0,0.993684439027898,0,
0.99,0.14,1.0,4.0,4.0,0.993684439027898,0,
0.5,0.14,1.1,4.0,4.0,0.9854595472606233,0,
0.9,0.14,1.1,4.0,4.0,0.9854595472606233,0,
0.99,0.14,1.1,4.0,4.0,0.9931517222957434,0,
0.5,0.14,1.2,4.0,4.0,0.9657197818364792,0,
0.9,0.14,1.2,4.0,4.0,0.9657197818364792,0,
0.99,0.14,1.2,4.0,4.0,0.9941406249999999,0,
0.5,0.14,1.3,4.0,4.0,0.9547190693052867,0,
0.9,0.14,1.3,4.0,4.0,0.9547190693052867,0,
0.99,0.14,1.3,4.0,4.0,0.9922443016436983,0,
0.5,0.14,1.4,4.0,4.0,0.9379151671057988,0,
0.9,0.14,1.4,4.0,4.0,0.9379151671057988,0,
0.99,0.14,1.4,4.0,4.0,0.9948621517186345,0,
0.5,0.14,1.5,4.0,4.0,0.9279234836210656,0,
0.9,0.14,1.5,4.0,4.0,0.9279234836210656,0,
0.99,0.14,1.5,4.0,4.0,0.9922367806699838,0,
0.5,0.14,1.6,4.0,4.0,0.9072265624999997,0,
0.9,0.14,1.6,4.0,4.0,0.9072265624999997,0,
0.99,0.14,1.6,4.0,4.0,0.9921065297790759,0,
0.5,0.14,1.7,4.0,4.0,0.8776943815689017,0,
0.9,0.14,1.7,4.0,4.0,0.9294817246477077,0,
0.99,0.14,1.7,4.0,4.0,0.9921369200686435,0,
0.5,0.14,1.8,4.0,4.0,0.8720703124999997,0,
0.9,0.14,1.8,4.0,4.0,0.9165246743337473,0,
0.99,0.14,1.8,4.0,4.0,0.9933539702339313,0,
0.5,0.14,1.9,4.0,4.0,0.8486328125000001,0,
0.9,0.14,1.9,4.0,4.0,0.9205828042547773,0,
0.99,0.14,1.9,6.0,6.0,1.0,0,
0.5,0.14,2.0,4.0,4.0,0.8388671874999997,0,
0.9,0.14,2.0,4.0,4.0,0.9072265624999997,0,
0.99,0.14,2.0,6.0,6.0,1.0,0,
0.5,0.14,2.1,4.0,4.0,0.8066406249999997,0,
0.9,0.14,2.1,4.0,4.0,0.9661626510320567,0,
0.99,0.14,2.1,6.0,6.0,1.0,0,
0.5,0.14,2.2,4.0,4.0,0.7724609375000003,0,
0.9,0.14,2.2,4.0,4.0,0.9687499999999996,0,
0.99,0.14,2.2,6.0,6.0,1.0,0,
0.5,0.14,2.3,4.0,4.0,0.7216796874999998,0,
0.9,0.14,2.3,4.0,4.0,0.9609374999999999,0,
0.99,0.14,2.3,6.0,6.0,1.0,0,
0.5,0.14,2.4,4.0,4.0,0.7500000000000001,0,
